Beacon_Id,AccessionNumber
1032,181.1958
1033,184.1948.a-g
1034,185.1948
1035,186.1958.1a-c
1036,187.1948
1037,190.1948
1038,190.1958
1039,191.1948.1-3
1040,194.1998.1-3
1041,195.1973
1042,195.1998
1043,196.1987
1044,196.1998.1-11
1045,135.1963
1046,135.1988.1-3
1047,135.1995
1048,136.1963.a-c
1049,136.1988.1-4
1050,136.1995.1-8
1051,137.1955
1052,137.1988
1053,138.1968
1054,138.1988.1-3
1055,138.1995
1056,139.1988
1057,139.1995
1058,140.1955.1-2
1059,140.1988
1060,140.1995
1061,141.1955
1062,141.1988
1063,141.1995
1064,142.1988
1065,143.1948
1066,144.1988.a-b
1067,145.1955
1068,146.1988
1069,147.1955.1-9
1070,147.1958
1071,147.1988.1-2
1072,148.1958
1073,148.1977
1074,149.1958
1075,150.1958
1076,151.1958
1077,151.1988.1-2
1078,152.1988
1079,197.1958
1080,197.1987.1-4
1081,197.1998
1082,198.1973
1083,198.1987.1-2
1084,199.1973
1085,199.1998
1086,200.1950
1087,201.1958
1088,201.1987.a-b
1089,202.1947.1-2
1090,202.1950
1091,202.1958
1092,202.1987.a-b
1093,202.1998
1094,203.1947
1095,203.1950
1096,203.1998
1097,204.1950.1-4
1098,204.1987
1099,204.1998
1100,205.1958
1101,205.1960
1102,205.1987.1-2
1103,206.1998
1104,207.1958
1105,208.1958
1106,208.1998
1107,209.1998
1108,210.1948
1109,210.1998
1110,211.1998
1111,212.1998
1112,213.1957
1113,213.1998
1114,214.1934
1115,214.1950.1-2
1116,214.1978
1117,215.1950
1118,215.1954
1119,215.1998.1-4
1120,216.1953
1121,216.1957
1122,216.1968
1123,216.1981
1124,216.1998.1-3
1125,217.1953
1126,217.1968
1127,217.1978
1128,218.1953
1129,219.1953
1130,220.1953
1131,220.1954.1-4
1132,220.1978
1133,221.1950
1134,221.1954
1135,221.1978
1136,222.1953.a-c
1137,222.1978
1138,222.1981
1139,222.1998.1-2
1140,223.1950
1141,223.1957
1142,223.1978
1143,223.1981
1144,224.1978
1145,224.1981
1146,224.1998
1147,225.1950
1148,225.1981.a-b
1149,225.1998.1-2
1150,226.1950
1151,227.1944
1152,227.1981
1153,229.1934
1154,229.1994
1155,229.1998
1156,230.1994
1157,231.1981.1-2
1158,231.1994
1159,231.1998
1160,232.1944
1161,232.1965
1162,232.1981
1163,232.1994
1164,232.1998.1-26
1165,233.1944.a-b
1166,233.1965
1167,233.1975
1168,233.1981.a-c
1169,233.1998
1170,234.1965
1171,234.1975
1172,234.1981
1173,234.1986
1174,235.1967
1175,235.1981
1176,235.1998
1177,236.1958.a-b
1178,236.1986
1179,236.1998
1180,237.1994
1181,238.1958
1182,238.1994
1183,239.1981
1184,239.1986
1185,239.1994.1-2
1186,240.1953
1187,240.1975
1188,240.1986
1189,240.1994
1190,240.1998
1191,241.1986
1192,241.1998
1193,242.1944
1194,242.1965
1195,242.1994
1196,243.1998
1197,244.1986
1198,244.1998
1199,245.1986
1200,246.1953.1-5
1201,246.1986
1202,247.1953
1203,247.1965.1-2
1204,248.1998
1205,249.1944.a-c
1206,250.1965
1207,250.1986
1208,251.1965
1209,252.1998.1-2
1210,253.1979
1211,253.1998
1212,255.1979
1213,257.1979
1214,258.1979
1215,261.1979
1216,263.1979
1217,264.1962.a-e
1218,267.1958
1219,267.1962
1220,268.1934.1-3
1221,268.1958
1222,274.1958
1223,274.1984.1-4
1224,275.1984
1225,276.1984
1226,278.1984
1227,281.1934
1228,282.1984
1229,285.1984
1230,285.1999
1231,286.1999
1232,287.1999
1233,288.1984
1234,289.1999
1235,290.1984.1-3
1236,290.1999
1237,291.1999.1-239
1238,292.1976
1239,294.1976
1240,295.1960
1241,295.1976
1242,296.1984
1243,297.1976
1244,297.1984
1245,297.1999.1-3
1246,298.1976
1247,299.1999
1248,300.1984
1249,300.1999
1250,301.1984.1-2
1251,302.1984
1252,303.1984
1253,303.1999
1254,304.1999
1255,305.1977
1256,305.1999
1257,306.1977
1258,306.1999
1259,307.1977.a-c
1260,310.1949.a-c
1261,310.1999
1262,311.1949
1263,313.1949
1264,314.1949
1265,315.1949
1266,316.1949
1267,318.1949
1268,319.1949
1269,320.1949
1270,321.1949
1271,322.1949
1272,324.1949
1273,325.1949
1274,326.1977.1-3
1275,327.1949
1276,327.1960
1277,327.1972
1278,328.1977
1279,329.1967
1280,330.1977
1281,331.1977
1282,334.1960
1283,336.1960.a-b
1284,336.1977.a-b
1285,337.1960.a-f
1286,337.1969
1287,341.1969
1288,342.1961
1289,342.1969.a-b
1290,343.1969
1291,344.1960
1292,344.1969
1293,345.1960
1294,345.1961.1-3
1295,346.1969
1296,346.1982
1297,347.1982
1298,348.1950
1299,348.1961
1300,348.1982
1301,349.1950
1302,349.1966
1303,349.1969
1304,349.1982
1305,350.1960
1306,350.1966
1307,350.1969
1308,350.1982
1309,351.1950
1310,351.1960
1311,352.1982
1312,353.1960.a-c
1313,353.1961
1314,353.1966
1315,353.1982
1316,354.1950
1317,354.1966
1318,354.1982
1319,355.1966
1320,356.1966
1321,358.1985.a-b
1322,359.1993
1323,360.1982
1324,360.1993
1325,361.1982
1326,361.1985
1327,361.1993
1328,362.1982
1329,362.1993
1330,363.1982
1331,363.1993.1-5
1332,364.1982
1333,365.1942
1334,365.1982
1335,365.1993
1336,366.1993
1337,367.1982
1338,367.1993.1-3
1339,368.1982
1340,369.1942
1341,369.1982
1342,370.1985
1343,371.1942
1344,372.1982
1345,373.1982
1346,405.1988
1347,406.1951
1348,406.1960
1349,407.1951
1350,407.1960
1351,407.1988
1352,408.1951
1353,408.1988
1354,409.1951
1355,409.1960
1356,409.1972
1357,410.1960
1358,410.1972
1359,411.1951
1360,411.1960
1361,411.1972
1362,411.1976
1363,412.1972.1-3
1364,412.1976
1365,413.1972
1366,414.1976
1367,416.1972
1368,418.1976
1369,419.1972.1-2
1370,419.1976
1371,420.1972
1372,420.1976
1373,422.1938.2
1374,422.1972
1375,424.1938
1376,427.1964.1-3
1377,430.1964
1378,430.1996
1379,431.1964
1380,432.1983
1381,432.1996
1382,433.1951
1383,433.1964
1384,433.1983
1385,433.1996.1-8
1386,434.1983
1387,434.1992
1388,434.1996
1389,435.1951
1390,435.1983
1391,436.1983
